artist,danceability,energy_i,loudness,speechiness,acousticness,instrumentalness,liveness,valence_i,tempo,valence_l,arousal,dominance,goodness,energy_l,structure,power,danger,scored_words,genre
Nardo Wick,0.704,0.5429999999999999,-8.3165,0.475,0.0769799999999999,0.0,0.1755,0.416,121.7515,0.0915198351648351,-0.0380192231852654,0.0266586124438941,0.0975551329322086,-0.0315135838685961,0.0046770548289738,0.0466983953722334,-0.091265283218542,466,hip hop
Neon Trees,0.471,0.924,-3.906,0.0586,0.00301,0.0,0.313,0.725,154.961,0.1279216666666666,-0.066291,0.04187,0.1405395083333333,-0.0523990833333333,-0.0038028249999999,0.062324675,-0.1364282,120,rock
Nicki Minaj,0.892,0.6343333333333333,-6.316,0.1622333333333333,0.2790333333333333,0.29234024,0.1793333333333333,0.8119999999999999,131.07266666666666,0.1053319899023496,-0.0520504390623849,0.024737474651059,0.1106549192455365,-0.0463344004641211,0.0049574284891071,0.0454814648393907,-0.1110082353123815,920,hip hop
Nicky Youre,0.768,0.714,-5.11,0.0401,0.352,0.0,0.15,0.842,131.443,0.1606942857142857,-0.0627755238095238,0.0353211904761904,0.1651671904761905,-0.0582761488095238,0.0182930892857142,0.0755833511904761,-0.1579982916666666,168,pop
Nigo,0.6725000000000001,0.571,-7.662,0.1714999999999999,0.1655,0.0,0.3894999999999999,0.35,144.4665,0.1194724623115577,-0.0796644924623115,0.0571766582914572,0.1426078391959798,-0.0537873266331658,-0.025673552763819,0.0628055728643216,-0.1388723316582914,398,niche or unknown
Nirvana,0.4645,0.5565,-8.8,0.04405,0.37251275,0.1315865,0.1075,0.3933999999999999,110.9895,0.0896257146248812,-0.0679100289648622,0.0117254012345679,0.093193990562678,-0.0639677799738841,-0.0022333568376068,0.0206660219610636,-0.111130148385565,999,rock
Noah Kahan,0.662,0.488,-6.894,0.0682,0.782,0.0,0.102,0.817,117.913,0.1148721568627451,-0.0779529281045751,0.0176946732026143,0.119372339869281,-0.073044545751634,0.0002530653594771,0.0327586339869281,-0.1360592581699346,306,indie
Offset,0.7395,0.513,-7.647499999999999,0.1649999999999999,0.0996,5.03e-05,0.1435,0.338,139.7485,0.1203466289971538,-0.0583232430102126,0.064099635442826,0.1435086628473966,-0.0325664537397455,-0.0183930526326803,0.0784479276536078,-0.1245039210509794,445,hip hop
Oliver Tree,0.6435,0.616,-5.9135,0.06445,0.0994,0.000535,0.1315,0.384,112.4945,0.1196407886904762,-0.0695537232142857,0.0325195535714285,0.129373364360119,-0.0588389994791666,-0.0031001462797619,0.0498753026041666,-0.1330862102678571,338,hip hop
Olivia Rodrigo,0.5385,0.483,-7.803625,0.1192375,0.510025,3.8675e-06,0.177725,0.2784875,149.07025,0.120648699651109,-0.0617069999914929,0.0178724643849761,0.1220209652637269,-0.0604660530095463,0.0117463731680191,0.0435258595479801,-0.1290377786783372,3468,pop
Omah Lay,0.817,0.72,-8.134,0.0809,0.172,0.000726,0.109,0.384,119.989,0.144275358649789,-0.070472329113924,0.0167521729957805,0.1431965654008438,-0.0720736118143459,0.0190375316455696,0.050291523206751,-0.1522190126582278,237,niche or unknown
Omar Apollo,0.681,0.349,-7.891,0.0297,0.344,0.929,0.11,0.239,81.998,0.0983949659863945,-0.0444421904761904,0.0285456802721088,0.1053606462585033,-0.0368864217687074,0.0031641156462585,0.048418544217687,-0.1005838163265306,147,pop
OneRepublic,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,0.1152657142857142,-0.0359183809523809,0.0331485714285714,0.120874613095238,-0.0300496666666666,0.0127055952380952,0.0642228333333333,-0.1067195892857142,168,rock
PARTYNEXTDOOR,0.595,0.678,-5.18,0.0335,0.0199,0.00389,0.418,0.259,117.067,0.1151005673758865,-0.0652567801418439,0.0043981914893617,0.1112726453900709,-0.0698140992907801,0.0164395035460992,0.0293155177304964,-0.1280477092198581,141,hip hop
PSY,0.762,0.869,-3.287,0.13,0.0793,0.0,0.137,0.747,132.05,0.0711358441558441,-0.0649400259740259,0.0525203246753246,0.0964198246753246,-0.0364533506493506,-0.0375529935064935,0.0424026428571428,-0.0939555454545454,154,hip hop
Panic! At The Disco,0.506,0.817,-5.051,0.0335,0.00272,0.0,0.0486,0.506,109.952,0.1315796472663139,-0.068971291005291,0.031571631393298,0.139141467372134,-0.0607766049382716,0.0035784779541446,0.0554122663139329,-0.1413634197530864,567,rock
Paramore,0.728,0.76,-6.884,0.0396,0.00433,0.00585,0.13,0.674,123.045,0.1158555364806867,-0.0756455422031473,0.0292570171673819,0.1254431974248927,-0.0650298054363376,-0.005982861230329,0.0427186967095851,-0.1346847496423462,699,rock
Pharrell Williams,0.864,0.6895,-4.462,0.1358,0.172105,7.722500000000001e-05,0.07485,0.5285,101.5625,0.1064751180311401,-0.0564470949271722,0.0322975163234555,0.1159382373832245,-0.046045893556002,-0.0020991323606228,0.0494213094676042,-0.1145400488849824,637,pop
Pierce The Veil,0.403,0.965,-2.238,0.0964,3.81e-05,0.000276,0.341,0.431,112.363,0.0749363862928348,-0.0363865607476635,0.0318107320872274,0.0854686697819314,-0.0247284704049844,-0.0059107165109034,0.0429497570093457,-0.077921137071651,321,pop
Playboi Carti,0.7050000000000001,0.7400000000000001,-6.275000000000001,0.1806666666666666,0.1577666666666666,0.0,0.2036666666666666,0.4206666666666667,152.01733333333334,0.1302831935921794,-0.0629024857980429,0.0355045824237455,0.1390087952509237,-0.0534307952489799,0.0035571848663297,0.0605127512290142,-0.1360753095440043,660,hip hop
PnB Rock,0.638,0.6,-5.84,0.0438,0.114,0.0,0.187,0.0399,101.981,0.1362475438596491,-0.0587905614035087,0.0133274561403508,0.1328699429824561,-0.0630118026315789,0.0239244517543859,0.0493971535087719,-0.1385092324561403,228,hip hop
Polo G,0.7602,0.6033999999999999,-6.5448,0.269,0.191,0.0,0.1294,0.3802,121.97759999999998,0.1014249474098091,-0.0560755941194111,0.0260225122871998,0.1085001786973169,-0.0483355129157513,1.0608838365914076e-05,0.0425428190395314,-0.1108995683888971,2112,hip hop
Pooh Shiesty,0.759,0.538,-8.256,0.384,0.151,0.0,0.126,0.831,146.933,0.0653987192118226,-0.0339462955665024,0.0281996798029556,0.0751283596059113,-0.023151408866995,-0.0066539359605911,0.0367532019704433,-0.0694943054187192,203,hip hop
Pop Smoke,0.823,0.586,-6.606,0.2,0.114,0.0,0.193,0.347,125.971,0.1149652216748768,-0.039069448275862,0.0653942610837438,0.1366088325123152,-0.0151211724137931,-0.0113646945812807,0.0859046650246305,-0.1072893054187192,406,hip hop
Porter Robinson,0.55,0.648,-6.542,0.0309,0.0191,0.0,0.0999,0.323,156.957,0.0974316129032258,-0.0722434193548387,0.028761129032258,0.1087839354838709,-0.059553064516129,-0.0125962322580645,0.0348115161290322,-0.1190321419354838,155,pop
Post Malone,0.5827333333333333,0.5724,-7.0248,0.06516,0.2301533333333333,0.063454006,0.1725466666666666,0.3426466666666667,119.49153333333334,0.113996018300747,-0.0564997530397613,0.0301493099797475,0.1214075963828354,-0.0484534888347482,0.0029477015340987,0.0515863340856466,-0.1201099083890946,3330,hip hop
Pusha T,0.656,0.743125,-3.83275,0.2453,0.1887025,0.09676710375,0.2537625,0.52325,123.9685,0.1052020514418452,-0.0572493417913447,0.0360554221918515,0.1167675708235033,-0.044467552430416,-0.0057333121447902,0.051123803601941,-0.1140104376926719,2535,hip hop
