2022-01-06,2022-01-13,2022-01-20,2022-01-27,2022-02-03,2022-02-10,2022-02-17,2022-02-24,2022-03-03,2022-03-10,2022-03-17,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-21,2022-04-28,2022-05-05,2022-05-12,2022-05-19,2022-05-26,2022-06-02,2022-06-09,2022-06-16,2022-06-23,2022-06-30,2022-07-07,2022-07-14,2022-07-21,2022-07-28,2022-08-04,2022-08-11,2022-08-18,2022-08-25,2022-09-01,2022-09-08,2022-09-15,2022-09-22,2022-09-29,2022-10-06,2022-10-13,2022-10-20,2022-10-27,2022-11-03,2022-11-10,2022-11-17,2022-11-24
Pepas---Farruko,Dark Red---Steve Lacy,Gasoline---The Weeknd,"Smokin Out The Window---Bruno Mars, Anderson .Paak, Silk Sonic",Alien Blues---Vundabar,505---Arctic Monkeys,No Role Modelz---J. Cole,"What Else Can I Do?---Diane Guerrero, Stephanie Beatriz","Kiss Me More (feat. SZA)---Doja Cat, SZA",Monëy so big---Yeat,Rocking A Cardigan in Atlanta---lil Shordie Scott,"Bam Bam (feat. Ed Sheeran)---Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)---Camila Cabello, Ed Sheeran",Lost---Frank Ocean,Lost---Frank Ocean,Right On---Lil Baby,traitor---Olivia Rodrigo,Sweater Weather---The Neighbourhood,"INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow",Un Ratito---Bad Bunny,Dua Lipa---Jack Harlow,Wasted On You---Morgan Wallen,PUFFIN ON ZOOTIEZ---Future,"Tarot---Bad Bunny, Jhayco",PUFFIN ON ZOOTIEZ---Future,I Ain't Worried---OneRepublic,"Cooped Up (with Roddy Ricch)---Post Malone, Roddy Ricch",PROVENZA---KAROL G,Wasted On You---Morgan Wallen,The Kind of Love We Make---Luke Combs,THIQUE---Beyoncé,No Role Modelz---J. Cole,She Had Me At Heads Carolina---Cole Swindell,Something in the Orange---Zach Bryan,"Ojitos Lindos---Bad Bunny, Bomba Estéreo",Bound 2---Kanye West,505---Arctic Monkeys,505---Arctic Monkeys,About Damn Time---Lizzo,"Sunroof---Nicky Youre, dazy",STAR WALKIN' (League of Legends Worlds Anthem)---Lil Nas X,Late Night Talking---Harry Styles,Poland---Lil Yachty,Sweater Weather---The Neighbourhood,3AM on Glenwood---21 Savage,"Me Porto Bonito---Bad Bunny, Chencho Corleone",Mastermind---Taylor Swift
traitor---Olivia Rodrigo,"The Family Madrigal---Stephanie Beatriz, Olga Merediz, Encanto - Cast","Smokin Out The Window---Bruno Mars, Anderson .Paak, Silk Sonic",Sky---Playboi Carti,Dos Oruguitas---Sebastian Yatra,"emo girl (feat. WILLOW)---Machine Gun Kelly, WILLOW","The Next Episode---Dr. Dre, Snoop Dogg",I Hate U---SZA,"Better Days (NEIKED x Mae Muller x Polo G)---NEIKED, Mae Muller, Polo G","Better Days (NEIKED x Mae Muller x Polo G)---NEIKED, Mae Muller, Polo G","Bam Bam (feat. Ed Sheeran)---Camila Cabello, Ed Sheeran","family ties (with Kendrick Lamar)---Baby Keem, Kendrick Lamar","family ties (with Kendrick Lamar)---Baby Keem, Kendrick Lamar","MAMIII---Becky G, KAROL G",Happier Than Ever---Billie Eilish,"MAMIII---Becky G, KAROL G",MIDDLE OF THE NIGHT---Elley Duhé,I Love You So---The Walters,Agosto---Bad Bunny,Yo No Soy Celoso---Bad Bunny,No Role Modelz---J. Cole,No Role Modelz---J. Cole,No Role Modelz---J. Cole,"INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow",Tie That Binds---Drake,Wasted On You---Morgan Wallen,Massive---Drake,"Cooped Up (with Roddy Ricch)---Post Malone, Roddy Ricch",Ghost---Justin Bieber,Something in the Orange---Zach Bryan,"MOVE (feat. Grace Jones & Tems)---Beyoncé, Grace Jones, Tems",The Kind of Love We Make---Luke Combs,Wasted On You---Morgan Wallen,"Party---Bad Bunny, Rauw Alejandro","BIG TIME (feat. Future & Lil Baby)---DJ Khaled, Future, Lil Baby",Detox---Lil Baby,Until I Found You---Stephen Sanchez,Rock and A Hard Place---Bailey Zimmerman,The Kind of Love We Make---Luke Combs,Until I Found You---Stephen Sanchez,Wasted On You---Morgan Wallen,Heat Waves---Glass Animals,Sweater Weather---The Neighbourhood,Dark Red---Steve Lacy,Labyrinth---Taylor Swift,Sweater Weather---The Neighbourhood,"Circo Loco---Drake, 21 Savage"
"Do It To It---ACRAZE, Cherish",Every Angel is Terrifying---The Weeknd,Sky---Playboi Carti,"P power (feat. Drake)---Gunna, Drake","P power (feat. Drake)---Gunna, Drake",Alien Blues---Vundabar,she's all i wanna be---Tate McRae,"Kiss Me More (feat. SZA)---Doja Cat, SZA",I Hate U---SZA,"The Family Madrigal---Stephanie Beatriz, Olga Merediz, Encanto - Cast",Easy On Me---Adele,Numb Little Bug---Em Beihold,traitor---Olivia Rodrigo,deja vu---Olivia Rodrigo,deja vu---Olivia Rodrigo,"pushin P (feat. Young Thug)---Gunna, Future, Young Thug",Monëy so big---Yeat,"Cold Heart - PNAU Remix---Elton John, Dua Lipa, PNAU","STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber",PROVENZA---KAROL G,United In Grief---Kendrick Lamar,"STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber",You Proof---Morgan Wallen,"True Love---Kanye West, XXXTENTACION",Music For a Sushi Restaurant---Harry Styles,Music For a Sushi Restaurant---Harry Styles,Wasted On You---Morgan Wallen,Die For You---The Weeknd,"Cooped Up (with Roddy Ricch)---Post Malone, Roddy Ricch","Are You Entertained (feat. Ed Sheeran)---Russ, Ed Sheeran",Die For You---The Weeknd,PROVENZA---KAROL G,ALIEN SUPERSTAR---Beyoncé,Después de la Playa---Bad Bunny,No Role Modelz---J. Cole,505---Arctic Monkeys,"Ojitos Lindos---Bad Bunny, Bomba Estéreo",Talk---Yeat,505---Arctic Monkeys,"Ojitos Lindos---Bad Bunny, Bomba Estéreo",Moscow Mule---Bad Bunny,Real Spill---Lil Baby,Dark Red---Steve Lacy,Glitch---Taylor Swift,golden hour---JVKE,All I Want for Christmas Is You---Mariah Carey,Die For You---Joji
No Role Modelz---J. Cole,Woman---Doja Cat,"One Right Now (with The Weeknd)---Post Malone, The Weeknd","One Right Now (with The Weeknd)---Post Malone, The Weeknd",No Role Modelz---J. Cole,"Doja---$NOT, A$AP Rocky",505---Arctic Monkeys,"Better Days (NEIKED x Mae Muller x Polo G)---NEIKED, Mae Muller, Polo G",Monëy so big---Yeat,"Kiss Me More (feat. SZA)---Doja Cat, SZA","I’m Tired (with Zendaya) - Bonus Track---Labrinth, Zendaya",Easy On Me---Adele,MIDDLE OF THE NIGHT---Elley Duhé,MIDDLE OF THE NIGHT---Elley Duhé,abcdefu---GAYLE,"Broadway Girls (feat. Morgan Wallen)---Lil Durk, Morgan Wallen","Hold That Heat (feat. Travis Scott)---Southside, Future, Travis Scott",Wasted On You---Morgan Wallen,No Role Modelz---J. Cole,Neverita---Bad Bunny,PROVENZA---KAROL G,Woman---Doja Cat,Woman---Doja Cat,Satellite---Harry Styles,Wasted On You---Morgan Wallen,"Tarot---Bad Bunny, Jhayco",No Role Modelz---J. Cole,"Cash In Cash Out---Pharrell Williams, 21 Savage, Tyler, The Creator","Tarot---Bad Bunny, Jhayco",PROVENZA---KAROL G,"Party---Bad Bunny, Rauw Alejandro","STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber","Quevedo: Bzrp Music Sessions, Vol. 52---Bizarrap, Quevedo",Where It Ends---Bailey Zimmerman,505---Arctic Monkeys,Rock and A Hard Place---Bailey Zimmerman,Dah Dah DahDah---Nardo Wick,Under The Influence---Chris Brown,Betty (Get Money)---Yung Gravy,Wasted On You---Morgan Wallen,Rock and A Hard Place---Bailey Zimmerman,"Never Hating (feat. Young Thug)---Lil Baby, Young Thug",You Proof---Morgan Wallen,I Ain't Worried---OneRepublic,Something in the Orange---Zach Bryan,"Would've, Could've, Should've---Taylor Swift",No Role Modelz---J. Cole
"The Family Madrigal---Stephanie Beatriz, Olga Merediz, Encanto - Cast","What Else Can I Do?---Diane Guerrero, Stephanie Beatriz",Waiting On A Miracle---Stephanie Beatriz,Ghost---Justin Bieber,"Meet Me At Our Spot---THE ANXIETY, WILLOW, Tyler Cole",Notion---The Rare Occasions,Lose Yourself---Eminem,Notion---The Rare Occasions,Cigarettes---Juice WRLD,Mount Everest---Labrinth,"Better Days (NEIKED x Mae Muller x Polo G)---NEIKED, Mae Muller, Polo G","Tom's Diner---AnnenMayKantereit, Giant Rooks",Just A Cloud Away---Pharrell Williams,Easy On Me---Adele,"Broadway Girls (feat. Morgan Wallen)---Lil Durk, Morgan Wallen",Lost---Frank Ocean,Lost---Frank Ocean,Nail Tech---Jack Harlow,good 4 u---Olivia Rodrigo,Efecto---Bad Bunny,Efecto---Bad Bunny,"INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow","Die Young (feat. 347aidan)---Sleepy Hallow, 347aidan",So Good---Halsey,You Proof---Morgan Wallen,"Die Young (feat. 347aidan)---Sleepy Hallow, 347aidan",Ghost---Justin Bieber,The Kind of Love We Make---Luke Combs,"Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat",Wasted On You---Morgan Wallen,Master of Puppets (Remastered)---Metallica,HONEST---Baby Keem,PROVENZA---KAROL G,505---Arctic Monkeys,Rock and A Hard Place---Bailey Zimmerman,No Role Modelz---J. Cole,The Kind of Love We Make---Luke Combs,Until I Found You---Stephen Sanchez,Until I Found You---Stephen Sanchez,Betty (Get Money)---Yung Gravy,"Ojitos Lindos---Bad Bunny, Bomba Estéreo",505---Arctic Monkeys,Under The Influence---Chris Brown,Under The Influence---Chris Brown,As It Was---Harry Styles,Glimpse of Us---Joji,It's Beginning to Look a Lot like Christmas---Michael Bublé
"What Else Can I Do?---Diane Guerrero, Stephanie Beatriz","Better Days (NEIKED x Mae Muller x Polo G)---NEIKED, Mae Muller, Polo G",Dos Oruguitas---Sebastian Yatra,RAPSTAR---Polo G,Sacrifice---The Weeknd,Waiting On A Miracle---Stephanie Beatriz,"Better Days (NEIKED x Mae Muller x Polo G)---NEIKED, Mae Muller, Polo G",Banking On Me---Gunna,Mount Everest---Labrinth,she's all i wanna be---Tate McRae,"HANDSOMER (Remix) (Feat. Ktlyn)---Russ, Ktlyn","Broadway Girls (feat. Morgan Wallen)---Lil Durk, Morgan Wallen",Easy On Me---Adele,Soy El Unico---Yahritza Y Su Esencia,Wasted On You---Morgan Wallen,Happier Than Ever---Billie Eilish,In My Head---Lil Tjay,Don't Think Jesus---Morgan Wallen,Ghost---Justin Bieber,No Role Modelz---J. Cole,"STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber","Tarot---Bad Bunny, Jhayco","STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber",Run BTS---BTS,PROVENZA---KAROL G,Ghost---Justin Bieber,"Tarot---Bad Bunny, Jhayco","GRAVITY (FEAT. TYLER, THE CREATOR)---Brent Faiyaz, Dahi, Tyler, The Creator",Until I Found You---Stephen Sanchez,"Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat",The Kind of Love We Make---Luke Combs,Wasted On You---Morgan Wallen,505---Arctic Monkeys,"STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber",Mary On A Cross---Ghost,"Ojitos Lindos---Bad Bunny, Bomba Estéreo",Under The Influence---Chris Brown,"Ojitos Lindos---Bad Bunny, Bomba Estéreo",Rock and A Hard Place---Bailey Zimmerman,Neverita---Bad Bunny,Heartless---Kanye West,Bound 2---Kanye West,"I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat",Super Freaky Girl---Nicki Minaj,Sweet Nothing---Taylor Swift,Dark Red---Steve Lacy,Dark Red---Steve Lacy
2055---Sleepy Hallow,Shivers---Ed Sheeran,"thought i was playing---Gunna, 21 Savage",Out of Time---The Weeknd,"Smokin Out The Window---Bruno Mars, Anderson .Paak, Silk Sonic","Broadway Girls (feat. Morgan Wallen)---Lil Durk, Morgan Wallen",Notion---The Rare Occasions,Monëy so big---Yeat,Notion---The Rare Occasions,I Hate U---SZA,"OPEN A WINDOW (feat. Tyler, The Creator)---Rex Orange County, Tyler, The Creator",MIDDLE OF THE NIGHT---Elley Duhé,"See You Again (feat. Kali Uchis)---Tyler, The Creator, Kali Uchis","Surface Pressure - From ""Encanto""/Soundtrack Version---Jessica Darrow",Light Switch---Charlie Puth,abcdefu---GAYLE,Right On---Lil Baby,"We Don't Talk About Bruno---Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",Nail Tech---Jack Harlow,"La Corriente---Bad Bunny, Tony Dize",Woman---Doja Cat,good 4 u---Olivia Rodrigo,Ghost---Justin Bieber,Something in the Orange---Zach Bryan,No Role Modelz---J. Cole,Something in the Orange---Zach Bryan,Woman---Doja Cat,Wasted On You---Morgan Wallen,PUFFIN ON ZOOTIEZ---Future,Ghost---Justin Bieber,PURE/HONEY---Beyoncé,Something in the Orange---Zach Bryan,DESPECHÁ---ROSALÍA,PROVENZA---KAROL G,"Quevedo: Bzrp Music Sessions, Vol. 52---Bizarrap, Quevedo",Mary On A Cross---Ghost,Pink Venom---BLACKPINK,Neverita---Bad Bunny,"Ojitos Lindos---Bad Bunny, Bomba Estéreo",Rock and A Hard Place---Bailey Zimmerman,Betty (Get Money)---Yung Gravy,Wasted On You---Morgan Wallen,CUFF IT---Beyoncé,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems",Die For You---The Weeknd,You Proof---Morgan Wallen,It's the Most Wonderful Time of the Year---Andy Williams
"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)---Nardo Wick, G Herbo, Lil Durk, 21 Savage","family ties (with Kendrick Lamar)---Baby Keem, Kendrick Lamar",Ghost---Justin Bieber,505---Arctic Monkeys,RAPSTAR---Polo G,Light Switch---Charlie Puth,"Do We Have A Problem?---Nicki Minaj, Lil Baby",traitor---Olivia Rodrigo,"All For Us---Labrinth, Zendaya","One Right Now (with The Weeknd)---Post Malone, The Weeknd",AHHH HA---Lil Durk,"Better Days (NEIKED x Mae Muller x Polo G)---NEIKED, Mae Muller, Polo G",Numb Little Bug---Em Beihold,"Stick (with JID & J. Cole feat. Kenny Mason & Sheck Wes)---Dreamville, JID, J. Cole, Kenny Mason, Sheck Wes","MAMIII---Becky G, KAROL G",deja vu---Olivia Rodrigo,PROVENZA---KAROL G,Shivers---Ed Sheeran,"I'M ON ONE (feat. Drake)---Future, Drake","INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow",Un Ratito---Bad Bunny,Keep Driving---Harry Styles,Grapejuice---Harry Styles,Woman---Doja Cat,"Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat",Something in the Orange---Zach Bryan,Ghost---Justin Bieber,Rock and A Hard Place---Bailey Zimmerman,HONEST---Baby Keem,Después de la Playa---Bad Bunny,Master of Puppets (Remastered)---Metallica,"Tarot---Bad Bunny, Jhayco","Quevedo: Bzrp Music Sessions, Vol. 52---Bizarrap, Quevedo","Party---Bad Bunny, Rauw Alejandro","STAYING ALIVE (feat. Drake & Lil Baby)---DJ Khaled, Drake, Lil Baby",Neverita---Bad Bunny,CUFF IT---Beyoncé,Neverita---Bad Bunny,Running Up That Hill (A Deal With God)---Kate Bush,BILLIE EILISH.---Armani White,Heyy---Lil Baby,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems",You Proof---Morgan Wallen,"Would've, Could've, Should've---Taylor Swift","I'm Good (Blue)---David Guetta, Bebe Rexha",I Ain't Worried---OneRepublic
"You Right---Doja Cat, The Weeknd","Meet Me At Our Spot---THE ANXIETY, WILLOW, Tyler Cole",All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)---Taylor Swift,Happier Than Ever---Billie Eilish,Softcore---The Neighbourhood,"P power (feat. Drake)---Gunna, Drake",Fingers Crossed---Lauren Spencer Smith,RAPSTAR---Polo G,"One Right Now (with The Weeknd)---Post Malone, The Weeknd",Notion---The Rare Occasions,"The Family Madrigal---Stephanie Beatriz, Olga Merediz, Encanto - Cast",Rocking A Cardigan in Atlanta---lil Shordie Scott,"Better Days (NEIKED x Mae Muller x Polo G)---NEIKED, Mae Muller, Polo G",Numb Little Bug---Em Beihold,Easy On Me---Adele,MIDDLE OF THE NIGHT---Elley Duhé,"One Right Now (with The Weeknd)---Post Malone, The Weeknd",Boyfriend---Dove Cameron,Woman---Doja Cat,"STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber",Yo No Soy Celoso---Bad Bunny,Rich Spirit---Kendrick Lamar,Wasted On You---Morgan Wallen,Rock and A Hard Place---Bailey Zimmerman,"Sunroof---Nicky Youre, dazy",good 4 u---Olivia Rodrigo,Whiskey Glasses---Morgan Wallen,Sticky---Drake,Woman---Doja Cat,BREAK MY SOUL---Beyoncé,Dark Red---Steve Lacy,"Tarot---Bad Bunny, Jhayco",Heartless---Kanye West,Wasted On You---Morgan Wallen,BREAK MY SOUL---Beyoncé,"Quevedo: Bzrp Music Sessions, Vol. 52---Bizarrap, Quevedo","Hold Me Closer---Elton John, Britney Spears",First Class---Jack Harlow,Wasted On You---Morgan Wallen,Shut Down---BLACKPINK,Neverita---Bad Bunny,Stick Season---Noah Kahan,Evergreen (You Didn’t Deserve Me At All)---Omar Apollo,"Monster Mash---Bobby ""Boris"" Pickett, The Crypt-Kickers",Tití Me Preguntó---Bad Bunny,"Hours In Silence---Drake, 21 Savage","Down In Atlanta---Pharrell Williams, Travis Scott"
"Sunflower - Spider-Man: Into the Spider-Verse---Post Malone, Swae Lee","25k jacket (feat. Lil Baby)---Gunna, Lil Baby","Way 2 Sexy (with Future & Young Thug)---Drake, Future, Young Thug","Way 2 Sexy (with Future & Young Thug)---Drake, Future, Young Thug","One Right Now (with The Weeknd)---Post Malone, The Weeknd",Sky---Playboi Carti,Alien Blues---Vundabar,Lose Yourself---Eminem,Love Sosa---Chief Keef,traitor---Olivia Rodrigo,Notion---The Rare Occasions,"See You Again (feat. Kali Uchis)---Tyler, The Creator, Kali Uchis",chaotic---Tate McRae,Wait a Minute!---WILLOW,MIDDLE OF THE NIGHT---Elley Duhé,Easy On Me---Adele,Happier Than Ever---Billie Eilish,"See You Again (feat. Kali Uchis)---Tyler, The Creator, Kali Uchis","Enemy (with JID) - from the series Arcane League of Legends---Imagine Dragons, JID, Arcane, League of Legends",Thought You Should Know---Morgan Wallen,good 4 u---Olivia Rodrigo,Ghost---Justin Bieber,"Die Hard---Kendrick Lamar, Blxst, Amanda Reifer","Sunroof---Nicky Youre, dazy","STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber",SLOW DANCING IN THE DARK---Joji,"Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat","Tarot---Bad Bunny, Jhayco","Cash In Cash Out---Pharrell Williams, 21 Savage, Tyler, The Creator",505---Arctic Monkeys,No Role Modelz---J. Cole,505---Arctic Monkeys,Dah Dah DahDah---Nardo Wick,Heartless---Kanye West,Until I Found You---Stephen Sanchez,Static---Steve Lacy,"STAYING ALIVE (feat. Drake & Lil Baby)---DJ Khaled, Drake, Lil Baby",Wasted On You---Morgan Wallen,Mary On A Cross---Ghost,"STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber",About Damn Time---Lizzo,No Role Modelz---J. Cole,Dear Reader---Taylor Swift,"Me Porto Bonito---Bad Bunny, Chencho Corleone",Made You Look---Meghan Trainor,Labyrinth---Taylor Swift
Blinding Lights---The Weeknd,"mop (feat. Young Thug)---Gunna, Young Thug",Happier Than Ever---Billie Eilish,By Your Side---Rod Wave,Happier Than Ever---Billie Eilish,"Meet Me At Our Spot---THE ANXIETY, WILLOW, Tyler Cole",Numb Little Bug---Em Beihold,Happier Than Ever---Billie Eilish,traitor---Olivia Rodrigo,"Freaky Deaky---Tyga, Doja Cat",Mount Everest---Labrinth,"One Right Now (with The Weeknd)---Post Malone, The Weeknd","One Right Now (with The Weeknd)---Post Malone, The Weeknd",drivers license---Olivia Rodrigo,Numb Little Bug---Em Beihold,"Better Days (NEIKED x Mae Muller x Polo G)---NEIKED, Mae Muller, Polo G",deja vu---Olivia Rodrigo,"Kiss Me More (feat. SZA)---Doja Cat, SZA",Wasted On You---Morgan Wallen,Wasted On You---Morgan Wallen,Wasted On You---Morgan Wallen,Something in the Orange---Zach Bryan,Cinema---Harry Styles,Little Freak---Harry Styles,Sweater Weather---The Neighbourhood,"INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow",Die For You---The Weeknd,"Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat",505---Arctic Monkeys,"Cooped Up (with Roddy Ricch)---Post Malone, Roddy Ricch","Quevedo: Bzrp Music Sessions, Vol. 52---Bizarrap, Quevedo",DESPECHÁ---ROSALÍA,HONEST---Baby Keem,"Tarot---Bad Bunny, Jhayco",Romantic Homicide---d4vd,"STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber","Flawlëss (feat. Lil Uzi Vert)---Yeat, Lil Uzi Vert",Heartless---Kanye West,Talk---Yeat,Heartless---Kanye West,She Had Me At Heads Carolina---Cole Swindell,"Tomorrow 2 (with Cardi B)---GloRilla, Cardi B",Glimpse of Us---Joji,CUFF IT---Beyoncé,Sweater Weather---The Neighbourhood,Rockin' Around The Christmas Tree---Brenda Lee,Last Christmas---Wham!
"Flower Shops (feat. Morgan Wallen)---ERNEST, Morgan Wallen",Sweater Weather---The Neighbourhood,Less Than Zero---The Weeknd,Is There Someone Else?---The Weeknd,traitor---Olivia Rodrigo,RAPSTAR---Polo G,Worst Day---Future,"Broadway Girls (feat. Morgan Wallen)---Lil Durk, Morgan Wallen","Broadway Girls (feat. Morgan Wallen)---Lil Durk, Morgan Wallen","Broadway Girls (feat. Morgan Wallen)---Lil Durk, Morgan Wallen",MIDDLE OF THE NIGHT---Elley Duhé,Notion---The Rare Occasions,"Broadway Girls (feat. Morgan Wallen)---Lil Durk, Morgan Wallen","Tom's Diner---AnnenMayKantereit, Giant Rooks","Better Days (NEIKED x Mae Muller x Polo G)---NEIKED, Mae Muller, Polo G",Light Switch---Charlie Puth,Flowers---Lauren Spencer Smith,"Wants and Needs (feat. Lil Baby)---Drake, Lil Baby",I'd Do Anything To Make You Smile---Jack Harlow,Woman---Doja Cat,Ghost---Justin Bieber,Dua Lipa---Jack Harlow,Sweater Weather---The Neighbourhood,Until I Found You---Stephen Sanchez,"Die Young (feat. 347aidan)---Sleepy Hallow, 347aidan",Whiskey Glasses---Morgan Wallen,"Die Young (feat. 347aidan)---Sleepy Hallow, 347aidan",Until I Found You---Stephen Sanchez,Whiskey Glasses---Morgan Wallen,"Tarot---Bad Bunny, Jhayco",AMERICA HAS A PROBLEM---Beyoncé,Romantic Homicide---d4vd,"Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat",ALIEN SUPERSTAR---Beyoncé,Después de la Playa---Bad Bunny,"New Gold (feat. Tame Impala and Bootie Brown)---Gorillaz, Tame Impala, Bootie Brown",She Had Me At Heads Carolina---Cole Swindell,Dah Dah DahDah---Nardo Wick,Heartless---Kanye West,BILLIE EILISH.---Armani White,"family ties (with Kendrick Lamar)---Baby Keem, Kendrick Lamar","Sunroof---Nicky Youre, dazy",Late Night Talking---Harry Styles,"I Like You (A Happier Song) (with Doja Cat)---Post Malone, Doja Cat",Dark Red---Steve Lacy,"WAIT FOR U (feat. Drake & Tems)---Future, Drake, Tems",Under The Influence---Chris Brown
Get Into It (Yuh)---Doja Cat,"One Right Now (with The Weeknd)---Post Malone, The Weeknd",RAPSTAR---Polo G,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)---Taylor Swift,"Way 2 Sexy (with Future & Young Thug)---Drake, Future, Young Thug","Smokin Out The Window---Bruno Mars, Anderson .Paak, Silk Sonic","Broadway Girls (feat. Morgan Wallen)---Lil Durk, Morgan Wallen",Softcore---The Neighbourhood,"What Else Can I Do?---Diane Guerrero, Stephanie Beatriz",Big Energy---Latto,"One Right Now (with The Weeknd)---Post Malone, The Weeknd",traitor---Olivia Rodrigo,"emo girl (feat. WILLOW)---Machine Gun Kelly, WILLOW","NEW MAGIC WAND---Tyler, The Creator","NEW MAGIC WAND---Tyler, The Creator","What Happened To Virgil (feat. Gunna)---Lil Durk, Gunna",abcdefu---GAYLE,"family ties (with Kendrick Lamar)---Baby Keem, Kendrick Lamar",Wait a Minute!---WILLOW,good 4 u---Olivia Rodrigo,Neverita---Bad Bunny,Yo No Soy Celoso---Bad Bunny,Daydreaming---Harry Styles,good 4 u---Olivia Rodrigo,Daylight---Harry Styles,Die For You---The Weeknd,Music For a Sushi Restaurant---Harry Styles,PRICE OF FAME---Brent Faiyaz,Sticky---Drake,Until I Found You---Stephen Sanchez,ALL UP IN YOUR MIND---Beyoncé,"Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat",Until I Found You---Stephen Sanchez,"Knife Talk (with 21 Savage ft. Project Pat)---Drake, 21 Savage, Project Pat","STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber","Party---Bad Bunny, Rauw Alejandro",Heartless---Kanye West,Mary On A Cross---Ghost,First Class---Jack Harlow,First Class---Jack Harlow,Running Up That Hill (A Deal With God)---Kate Bush,STAR WALKIN' (League of Legends Worlds Anthem)---Lil Nas X,Static---Steve Lacy,No Role Modelz---J. Cole,"I'm Good (Blue)---David Guetta, Bebe Rexha",I Ain't Worried---OneRepublic,Sweet Nothing---Taylor Swift
Ghost---Justin Bieber,"Smokin Out The Window---Bruno Mars, Anderson .Paak, Silk Sonic",Softcore---The Neighbourhood,Softcore---The Neighbourhood,Ginseng Strip 2002---Yung Lean,Numb Little Bug---Em Beihold,The Real Slim Shady---Eminem,Alien Blues---Vundabar,RAPSTAR---Polo G,"See You Again (feat. Kali Uchis)---Tyler, The Creator, Kali Uchis",traitor---Olivia Rodrigo,"Levitating (feat. DaBaby)---Dua Lipa, DaBaby",she's all i wanna be---Tate McRae,"Broadway Girls (feat. Morgan Wallen)---Lil Durk, Morgan Wallen",20 Min---Lil Uzi Vert,"One Right Now (with The Weeknd)---Post Malone, The Weeknd","pushin P (feat. Young Thug)---Gunna, Future, Young Thug",traitor---Olivia Rodrigo,Need to Know---Doja Cat,"Otro Atardecer---Bad Bunny, The Marías",Count Me Out---Kendrick Lamar,"Silent Hill---Kendrick Lamar, Kodak Black","INDUSTRY BABY (feat. Jack Harlow)---Lil Nas X, Jack Harlow",Pass The Dutchie---Musical Youth,"Tarot---Bad Bunny, Jhayco",N95---Kendrick Lamar,Until I Found You---Stephen Sanchez,Woman---Doja Cat,"Sunshine (feat. Fousheé)---Steve Lacy, Fousheé","Cash In Cash Out---Pharrell Williams, 21 Savage, Tyler, The Creator","STAY (with Justin Bieber)---The Kid LAROI, Justin Bieber",Heartless---Kanye West,Alone---Rod Wave,DESPECHÁ---ROSALÍA,PROVENZA---KAROL G,BREAK MY SOUL---Beyoncé,"Quevedo: Bzrp Music Sessions, Vol. 52---Bizarrap, Quevedo",Hotel---Montell Fish,BILLIE EILISH.---Armani White,"family ties (with Kendrick Lamar)---Baby Keem, Kendrick Lamar",La Bachata---Manuel Turizo,"Miss You - Bonus Track---Oliver Tree, Robin Schulz",Until I Found You---Stephen Sanchez,This Is Halloween---The Citizens of Halloween,You Proof---Morgan Wallen,No Role Modelz---J. Cole,Until I Found You---Stephen Sanchez
